step,ΔE,ΔS,left,right,E
88,-2.005804262979069,-2.933708071383133,66,34,-137.6785853397127
89,0.15944163986813464,-2.933708071383133,66,34,-137.6785853397127
90,5.720580230021483,-2.933708071383133,66,34,-137.6785853397127
91,2250534.6881185933,2.7575508448752406,66,34,-137.6785853397127
92,5.321141858988511,-2.933708071383133,66,34,-137.6785853397127
93,-0.5898849664883414,-2.933708071383133,66,34,-137.6785853397127
94,-0.6584206643868242,-2.933708071383133,64,36,-138.33700600409952
95,6.54347072133686,2.933708071383133,64,36,-138.33700600409952
96,6.195736772252872,2.933708071383133,64,36,-138.33700600409952
97,1.6260290392167747,-3.1053693459790774,64,36,-138.33700600409952
98,14.271356543205329,2.933708071383133,64,36,-138.33700600409952
99,11.103197354948989,2.933708071383133,64,36,-138.33700600409952
0,-0.6560309322973126,-3.1053693459790774,64,36,-138.33700600409952
1,11.50181512582867,-3.1053693459790774,64,36,-138.33700600409952
2,8.693137440888052,2.933708071383133,64,36,-138.33700600409952
3,3.0054617054983623,2.933708071383133,66,34,-135.33154429860116
4,4.870354157486304,2.7575508448752406,66,34,-135.33154429860116
5,9.467954491466983,-2.933708071383133,66,34,-135.33154429860116
6,-2.2849048999529202,-2.933708071383133,66,34,-135.33154429860116
7,-1.6964845751017492,-2.933708071383133,64,36,-137.0280288737029
8,13.89310334189436,2.933708071383133,64,36,-137.0280288737029
9,3.8820691506178093,2.933708071383133,64,36,-137.0280288737029
10,3.093194829548281,2.933708071383133,66,34,-133.93483404415463
11,2.460850267988519,2.7575508448752406,68,32,-131.4739837761661
12,-0.23695170538437083,2.576004443997926,70,30,-131.71093548155048
13,9.804798371778674,2.3880302989509308,70,30,-131.71093548155048
14,4.198475033241095,2.3880302989509308,70,30,-131.71093548155048
15,0.5442842149512046,-2.576004443997926,70,30,-131.71093548155048
16,4.403689321124048,2.3880302989509308,70,30,-131.71093548155048
17,3.342281158973634,-2.576004443997926,70,30,-131.71093548155048
18,1.9859073630981072,2.3880302989509308,72,28,-129.72502811845237
19,8.076877843721235,2.1923999251866437,72,28,-129.72502811845237
20,3.644625303105812,2.1923999251866437,72,28,-129.72502811845237
21,4.4818999116404825,2.1923999251866437,72,28,-129.72502811845237
22,2.3324882565533755,-2.3880302989509303,72,28,-129.72502811845237
23,8.554862340024144,2.1923999251866437,72,28,-129.72502811845237
24,12.087937987584937,2.1923999251866437,72,28,-129.72502811845237
25,-0.09475366061857926,-2.3880302989509303,72,28,-129.72502811845237
26,7.216628191410422,2.1923999251866437,72,28,-129.72502811845237
27,8.877813169222591,-2.3880302989509303,72,28,-129.72502811845237
28,13.110563075827372,2.1923999251866437,72,28,-129.72502811845237
29,13.394973524614727,2.1923999251866437,72,28,-129.72502811845237
30,1.7112582792930766,2.1923999251866437,74,26,-128.0137698391593
31,9.850102291929701,-2.192399925186644,74,26,-128.0137698391593
32,-1.18557843143563,1.987633992426713,76,24,-129.19934827059492
33,11.184576941356127,1.7719168810934915,76,24,-129.19934827059492
34,0.8795239451157784,-1.987633992426713,76,24,-129.19934827059492
35,9.219309924242822,1.7719168810934915,76,24,-129.19934827059492
36,0.9909774150676753,-1.987633992426713,76,24,-129.19934827059492
37,-4.8277306151296955,-1.987633992426713,74,26,-134.02707888572462
38,2.12039369110164,-2.192399925186644,74,26,-134.02707888572462
39,1.0125631932316992,-2.192399925186644,74,26,-134.02707888572462
40,1.9719514358072843,-2.192399925186644,74,26,-134.02707888572462
41,3.830893976228282,-2.192399925186644,74,26,-134.02707888572462
42,0.6739950277688251,-2.192399925186644,74,26,-134.02707888572462
43,10.309546648571882,1.987633992426713,74,26,-134.02707888572462
44,7.9627316358227915,1.987633992426713,74,26,-134.02707888572462
45,6.580559281884248,1.987633992426713,74,26,-134.02707888572462
46,10.719762487892865,1.987633992426713,74,26,-134.02707888572462
47,8.981432811960218,-2.192399925186644,74,26,-134.02707888572462
48,5.594652253764451,1.987633992426713,74,26,-134.02707888572462
49,3.655132258433156,1.987633992426713,74,26,-134.02707888572462
50,9.698189564806441,1.987633992426713,74,26,-134.02707888572462
51,4.463265822172531,1.987633992426713,74,26,-134.02707888572462
52,8.311815723618366,1.987633992426713,74,26,-134.02707888572462
53,5.965278349018121,1.987633992426713,74,26,-134.02707888572462
54,1.304995913100413,-2.192399925186644,74,26,-134.02707888572462
55,3.7177299032582027,-2.192399925186644,74,26,-134.02707888572462
56,1.495013281232076,-2.192399925186644,74,26,-134.02707888572462
57,1.077382234653811,-2.192399925186644,74,26,-134.02707888572462
58,-0.5334576061466691,-2.192399925186644,74,26,-134.02707888572462
59,4.676506564328463,-2.192399925186644,74,26,-134.02707888572462
60,0.01978502766468182,-2.192399925186644,74,26,-134.02707888572462
61,0.18211430924975502,1.987633992426713,76,24,-133.84496457647487
62,7.31588553234063,1.7719168810934915,76,24,-133.84496457647487
63,-1.2521825089755225,-1.987633992426713,74,26,-135.0971470854504
64,13.66544234485255,1.987633992426713,74,26,-135.0971470854504
65,1.5006106406864888,-2.192399925186644,74,26,-135.0971470854504
66,8.148291707199206,1.987633992426713,74,26,-135.0971470854504
67,0.4087819863381128,-2.192399925186644,74,26,-135.0971470854504
68,14.680515404331402,1.987633992426713,74,26,-135.0971470854504
69,-0.2705686093488282,-2.192399925186644,74,26,-135.0971470854504
70,-0.15697944313353673,-2.192399925186644,74,26,-135.0971470854504
71,8.918535081636676,1.987633992426713,74,26,-135.0971470854504
72,5.047714597366053,-2.192399925186644,74,26,-135.0971470854504
73,2.4423215674677294,-2.192399925186644,74,26,-135.0971470854504
74,5.02461044646688,1.987633992426713,74,26,-135.0971470854504
75,14.232621570879772,1.987633992426713,74,26,-135.0971470854504
76,-1.1717781260729794,-2.192399925186644,74,26,-135.0971470854504
77,6.288079626341215,1.987633992426713,74,26,-135.0971470854504
78,9.078165190034241,1.987633992426713,74,26,-135.0971470854504
79,5.045720771052402,1.987633992426713,74,26,-135.0971470854504
80,0.5750567335477115,-2.192399925186644,74,26,-135.0971470854504
81,2.303384076559979,-2.192399925186644,74,26,-135.0971470854504
82,7.186333306659961,1.987633992426713,74,26,-135.0971470854504
83,7.349643502705163,1.987633992426713,74,26,-135.0971470854504
84,2.236034940808281,-2.192399925186644,74,26,-135.0971470854504
85,0.4388365252715971,-2.192399925186644,74,26,-135.0971470854504
86,2.1816204807961412,1.987633992426713,76,24,-132.91552660465425
87,1.5537946086675447,-1.987633992426713,76,24,-132.91552660465425
88,5.080671335925601,1.7719168810934915,76,24,-132.91552660465425
89,10.29369563335166,1.7719168810934915,76,24,-132.91552660465425
90,-2.192635309606459,-1.987633992426713,74,26,-135.1081619142607
91,-0.41065649014169026,1.987633992426713,76,24,-135.5188184044024
92,11.197463662055242,1.7719168810934915,76,24,-135.5188184044024
93,1.499924365382725,-1.987633992426713,76,24,-135.5188184044024
94,0.2301001350095362,-1.987633992426713,76,24,-135.5188184044024
95,1.371696338953683,-1.987633992426713,76,24,-135.5188184044024
96,12.155296097903218,1.7719168810934915,76,24,-135.5188184044024
97,0.6259635780387498,-1.987633992426713,76,24,-135.5188184044024
98,6.194465376051198,-1.987633992426713,76,24,-135.5188184044024
99,3.9904938616395214,1.7719168810934915,76,24,-135.5188184044024
0,3.4840439543184516,-1.987633992426713,76,24,-135.5188184044024
1,13.888997631716094,-1.987633992426713,76,24,-135.5188184044024
2,9.107137761192291,1.7719168810934915,76,24,-135.5188184044024
3,5.586851145168708,1.7719168810934915,76,24,-135.5188184044024
4,9.387383957174322,1.7719168810934915,76,24,-135.5188184044024
5,10.426027094126226,1.7719168810934915,76,24,-135.5188184044024
6,11.941838230631163,1.7719168810934915,76,24,-135.5188184044024
7,6.42891021551668,1.7719168810934915,76,24,-135.5188184044024
8,7.334426441146661,1.7719168810934915,76,24,-135.5188184044024
9,4.609085791790392,1.7719168810934915,76,24,-135.5188184044024
10,7.693736902433599,1.7719168810934915,76,24,-135.5188184044024
11,9.754385711461936,1.7719168810934915,76,24,-135.5188184044024
12,5.378781925451307,-1.987633992426713,76,24,-135.5188184044024
13,0.3624320262833862,-1.987633992426713,76,24,-135.5188184044024
14,1.9786741208614558,-1.987633992426713,76,24,-135.5188184044024
15,6.106914393116369,-1.987633992426713,76,24,-135.5188184044024
16,3.273898814429913,1.7719168810934915,76,24,-135.5188184044024
17,4.178067510067933,1.7719168810934915,76,24,-135.5188184044024
18,6.881583813634904,1.7719168810934915,76,24,-135.5188184044024
19,80.2654799221344,-1.987633992426713,76,24,-135.5188184044024
20,6.328503963297578,1.7719168810934915,76,24,-135.5188184044024
21,11.003315972929485,1.7719168810934915,76,24,-135.5188184044024
22,4.873821568012232,1.7719168810934915,76,24,-135.5188184044024
23,7.319651290883371,1.7719168810934915,76,24,-135.5188184044024
24,-0.32622885299826976,-1.987633992426713,76,24,-135.5188184044024
25,13.41249165026096,1.7719168810934915,76,24,-135.5188184044024
26,2.079532441784636,-1.987633992426713,76,24,-135.5188184044024
27,1.0955043443251498,-1.987633992426713,76,24,-135.5188184044024
28,5.013839606690681,1.7719168810934915,76,24,-135.5188184044024
29,2.637100245392702,-1.987633992426713,76,24,-135.5188184044024
30,2.2533390928797132,-1.987633992426713,76,24,-135.5188184044024
31,6.185404580691397,-1.987633992426713,76,24,-135.5188184044024
32,9.16743733469238,1.7719168810934915,76,24,-135.5188184044024
33,-0.8501723441499678,1.7719168810934915,78,22,-136.36899074855236
34,-1.8997624741169545,-1.7719168810934915,76,24,-138.26875322266932
35,1.9717344904537413,-1.987633992426713,76,24,-138.26875322266932
36,10.49715180729359,1.7719168810934915,76,24,-138.26875322266932
37,1.9535305056340349,-1.987633992426713,76,24,-138.26875322266932
38,1.0240154504523105,-1.987633992426713,74,26,-137.244737772217
39,8.139842122982344,1.987633992426713,74,26,-137.244737772217
40,-3.886063470556479,-2.192399925186644,72,28,-141.1308012427735
41,6.262872822733868,-2.3880302989509303,72,28,-141.1308012427735
42,11.888538157997772,2.1923999251866437,72,28,-141.1308012427735
43,4.835475363148305,-2.3880302989509303,72,28,-141.1308012427735
44,0.799104944901103,2.1923999251866437,74,26,-140.33169629787238
45,6.903971541824291,-2.192399925186644,74,26,-140.33169629787238
46,120.25913548403577,1.987633992426713,74,26,-140.33169629787238
47,5.781949769584031,-2.192399925186644,74,26,-140.33169629787238
48,4803.831565760153,-2.192399925186644,74,26,-140.33169629787238
49,9.29238502003193,-2.192399925186644,74,26,-140.33169629787238
50,8.996419528998274,1.987633992426713,74,26,-140.33169629787238
51,0.15484031675444498,1.987633992426713,76,24,-140.17685598111794
52,10.254931536257743,1.7719168810934915,76,24,-140.17685598111794
53,-2.2556340622529376,1.7719168810934915,78,22,-142.43249004337088
54,6.410540257393848,1.5429734873005077,80,20,-136.02194978597703
55,7.614008722938479,-1.5429734873005077,80,20,-136.02194978597703
56,2.393138373941497,-1.5429734873005077,80,20,-136.02194978597703
57,6.475751548099026,-1.5429734873005077,80,20,-136.02194978597703
58,9.175439252285969,1.2978859341434115,80,20,-136.02194978597703
59,1.879257894115483,-1.5429734873005077,80,20,-136.02194978597703
60,4.0540948387305775,1.2978859341434115,80,20,-136.02194978597703
61,6.16794148284157,-1.5429734873005077,80,20,-136.02194978597703
62,3.6193874125884804,-1.5429734873005077,80,20,-136.02194978597703
63,12.601615895605534,-1.5429734873005077,80,20,-136.02194978597703
64,5.451777408500732,1.2978859341434115,80,20,-136.02194978597703
65,4.3134065648069395,1.2978859341434115,80,20,-136.02194978597703
66,10.723268385300926,1.2978859341434115,80,20,-136.02194978597703
67,-2.926987120341039,-1.5429734873005077,78,22,-138.94893690631807
68,3.7999086980522065,1.5429734873005077,78,22,-138.94893690631807
69,4.163765060843758,-1.7719168810934915,78,22,-138.94893690631807
70,0.25845916908355093,-1.7719168810934915,78,22,-138.94893690631807
71,7.193992972130445,1.5429734873005077,78,22,-138.94893690631807
72,2.761430592677499,-1.7719168810934915,78,22,-138.94893690631807
73,1.4979136215474682,1.5429734873005077,80,20,-137.4510232847706
74,1.1826695841482149,-1.5429734873005077,80,20,-137.4510232847706
75,0.8275035890909237,-1.5429734873005077,80,20,-137.4510232847706
76,3.1919174324648907,-1.5429734873005077,80,20,-137.4510232847706
77,6.7019047999041845,-1.5429734873005077,80,20,-137.4510232847706
78,2.6133959308574504,-1.5429734873005077,80,20,-137.4510232847706
79,6.298100812874594,-1.5429734873005077,80,20,-137.4510232847706
80,7.337241776782037,-1.5429734873005077,80,20,-137.4510232847706
